,county,year,unemployment
0,"Autauga County, AL",1990,6.5
1,"Baldwin County, AL",1990,5.2
2,"Barbour County, AL",1990,7.8
3,"Bibb County, AL",1990,9.1
4,"Blount County, AL",1990,6.3
5,"Bullock County, AL",1990,12.4
6,"Butler County, AL",1990,12.8
7,"Calhoun County, AL",1990,7.1
8,"Chambers County, AL",1990,7.2
9,"Cherokee County, AL",1990,9.9
10,"Chilton County, AL",1990,8.9
11,"Choctaw County, AL",1990,12.6
12,"Clarke County, AL",1990,8.2
13,"Clay County, AL",1990,7.1
14,"Cleburne County, AL",1990,6.5
15,"Coffee County, AL",1990,6.3
16,"Colbert County, AL",1990,8.1
17,"Conecuh County, AL",1990,9.7
18,"Coosa County, AL",1990,6.4
19,"Covington County, AL",1990,7.7
20,"Crenshaw County, AL",1990,7.4
21,"Cullman County, AL",1990,7.1
22,"Dale County, AL",1990,5.6
23,"Dallas County, AL",1990,12.1
24,"DeKalb County, AL",1990,7.4
25,"Elmore County, AL",1990,6.1
26,"Escambia County, AL",1990,8.6
27,"Etowah County, AL",1990,11.0
28,"Fayette County, AL",1990,9.8
29,"Franklin County, AL",1990,11.3
30,"Geneva County, AL",1990,4.7
31,"Greene County, AL",1990,11.6
32,"Hale County, AL",1990,7.7
33,"Henry County, AL",1990,4.8
34,"Houston County, AL",1990,4.4
35,"Jackson County, AL",1990,9.1
36,"Jefferson County, AL",1990,5.0
37,"Lamar County, AL",1990,8.0
38,"Lauderdale County, AL",1990,6.9
39,"Lawrence County, AL",1990,8.4
40,"Lee County, AL",1990,6.1
41,"Limestone County, AL",1990,6.5
42,"Lowndes County, AL",1990,15.7
43,"Macon County, AL",1990,8.9
44,"Madison County, AL",1990,4.8
45,"Marengo County, AL",1990,6.7
46,"Marion County, AL",1990,14.1
47,"Marshall County, AL",1990,8.9
48,"Mobile County, AL",1990,6.9
49,"Monroe County, AL",1990,10.5
50,"Montgomery County, AL",1990,6.2
51,"Morgan County, AL",1990,6.4
52,"Perry County, AL",1990,13.0
53,"Pickens County, AL",1990,9.2
54,"Pike County, AL",1990,6.1
55,"Randolph County, AL",1990,7.7
56,"Russell County, AL",1990,8.1
57,"St. Clair County, AL",1990,5.5
58,"Shelby County, AL",1990,3.3
59,"Sumter County, AL",1990,9.7
60,"Talladega County, AL",1990,9.2
61,"Tallapoosa County, AL",1990,6.4
62,"Tuscaloosa County, AL",1990,4.6
63,"Walker County, AL",1990,9.3
64,"Washington County, AL",1990,10.7
65,"Wilcox County, AL",1990,12.4
66,"Winston County, AL",1990,11.8
67,"Aleutians East Borough, AK",1990,0.4
68,"Aleutians West Census Area, AK",1990,0.5
69,"Anchorage Borough/municipality, AK",1990,5.2
70,"Bethel Census Area, AK",1990,7.3
71,"Bristol Bay Borough, AK",1990,4.2
72,"Denali Borough, AK",1990,13.3
73,"Dillingham Census Area, AK",1990,6.7
74,"Fairbanks North Star Borough, AK",1990,8.6
75,"Haines Borough, AK",1990,7.2
76,"Juneau Borough/city, AK",1990,5.2
77,"Kenai Peninsula Borough, AK",1990,12.0
78,"Ketchikan Gateway Borough, AK",1990,7.9
79,"Kodiak Island Borough, AK",1990,5.3
80,"Kusilvak Census Area, AK",1990,12.1
81,"Lake and Peninsula Borough, AK",1990,6.1
82,"Matanuska-Susitna Borough, AK",1990,12.1
83,"Nome Census Area, AK",1990,9.2
84,"North Slope Borough, AK",1990,3.6
85,"Northwest Arctic Borough, AK",1990,14.9
86,"Prince of Wales-Outer Ketchikan Census Area, AK",1990,11.1
87,"Sitka Borough/city, AK",1990,5.2
88,"Skagway-Hoonah-Angoon Census Area, AK",1990,10.3
89,"Southeast Fairbanks Census Area, AK",1990,12.7
90,"Valdez-Cordova Census Area, AK",1990,11.3
91,"Wrangell-Petersburg Census Area, AK",1990,8.8
92,"Yukon-Koyukuk Census Area, AK",1990,14.6
93,"Apache County, AZ",1990,13.1
94,"Cochise County, AZ",1990,6.5
95,"Coconino County, AZ",1990,7.5
96,"Gila County, AZ",1990,7.4
97,"Graham County, AZ",1990,7.0
98,"Greenlee County, AZ",1990,6.5
99,"La Paz County, AZ",1990,6.8
100,"Maricopa County, AZ",1990,4.3
101,"Mohave County, AZ",1990,4.9
102,"Navajo County, AZ",1990,10.8
103,"Pima County, AZ",1990,4.6
104,"Pinal County, AZ",1990,6.2
105,"Santa Cruz County, AZ",1990,13.5
106,"Yavapai County, AZ",1990,4.5
107,"Yuma County, AZ",1990,20.7
108,"Arkansas County, AR",1990,4.7
109,"Ashley County, AR",1990,6.0
110,"Baxter County, AR",1990,6.1
111,"Benton County, AR",1990,3.6
112,"Boone County, AR",1990,5.7
113,"Bradley County, AR",1990,9.4
114,"Calhoun County, AR",1990,11.6
115,"Carroll County, AR",1990,6.0
116,"Chicot County, AR",1990,10.5
117,"Clark County, AR",1990,7.5
118,"Clay County, AR",1990,7.0
119,"Cleburne County, AR",1990,7.1
120,"Cleveland County, AR",1990,6.8
121,"Columbia County, AR",1990,7.4
122,"Conway County, AR",1990,6.3
123,"Craighead County, AR",1990,5.9
124,"Crawford County, AR",1990,8.3
125,"Crittenden County, AR",1990,7.5
126,"Cross County, AR",1990,8.4
127,"Dallas County, AR",1990,8.4
128,"Desha County, AR",1990,10.5
129,"Drew County, AR",1990,8.8
130,"Faulkner County, AR",1990,7.3
131,"Franklin County, AR",1990,8.2
132,"Fulton County, AR",1990,6.3
133,"Garland County, AR",1990,6.6
134,"Grant County, AR",1990,5.1
135,"Greene County, AR",1990,7.0
136,"Hempstead County, AR",1990,8.8
137,"Hot Spring County, AR",1990,8.9
138,"Howard County, AR",1990,8.0
139,"Independence County, AR",1990,7.3
140,"Izard County, AR",1990,5.1
141,"Jackson County, AR",1990,11.5
142,"Jefferson County, AR",1990,9.1
143,"Johnson County, AR",1990,8.3
144,"Lafayette County, AR",1990,7.5
145,"Lawrence County, AR",1990,10.8
146,"Lee County, AR",1990,11.8
147,"Lincoln County, AR",1990,7.8
148,"Little River County, AR",1990,4.6
149,"Logan County, AR",1990,6.4
150,"Lonoke County, AR",1990,6.0
151,"Madison County, AR",1990,4.8
152,"Marion County, AR",1990,6.9
153,"Miller County, AR",1990,6.0
154,"Mississippi County, AR",1990,9.5
155,"Monroe County, AR",1990,7.7
156,"Montgomery County, AR",1990,3.7
157,"Nevada County, AR",1990,10.4
