,year,unemployment,state
0,1990,6.908333333333332,Arkansas
1,1991,7.425000000000001,Arkansas
2,1992,7.091666666666666,Arkansas
3,1993,6.141666666666667,Arkansas
4,1994,5.375,Arkansas
5,1995,4.85,Arkansas
6,1996,5.249999999999999,Arkansas
7,1997,5.233333333333333,Arkansas
8,1998,5.175000000000001,Arkansas
9,1999,4.6000000000000005,Arkansas
10,2000,4.2749999999999995,Arkansas
11,2001,4.95,Arkansas
12,2002,5.474999999999999,Arkansas
13,2003,5.9333333333333345,Arkansas
14,2004,5.7,Arkansas
15,2005,5.2250000000000005,Arkansas
16,2006,5.175,Arkansas
17,2007,5.3,Arkansas
18,2008,5.5,Arkansas
19,2009,7.824999999999999,Arkansas
20,2010,8.191666666666666,Arkansas
21,2011,8.291666666666666,Arkansas
22,2012,7.575,Arkansas
23,2013,7.216666666666666,Arkansas
24,2014,6.016666666666666,Arkansas
25,2015,5.008333333333333,Arkansas
26,2016,3.9666666666666663,Arkansas
27,2017,3.683333333333334,Arkansas
28,2018,3.6416666666666675,Arkansas
29,2019,3.5500000000000003,Arkansas
30,2020,6.575,Arkansas
31,1990,5.741666666666667,California
32,1991,7.616666666666667,California
33,1992,9.05,California
34,1993,9.283333333333333,California
35,1994,8.333333333333334,California
36,1995,7.791666666666667,California
37,1996,6.941666666666666,California
38,1997,6.1833333333333345,California
39,1998,5.7,California
40,1999,5.008333333333333,California
41,2000,4.775,California
42,2001,5.333333333333333,California
43,2002,6.616666666666667,California
44,2003,6.741666666666666,California
45,2004,6.091666666666666,California
46,2005,5.416666666666665,California
47,2006,4.949999999999999,California
48,2007,5.458333333333333,California
49,2008,7.191666666666666,California
50,2009,10.991666666666667,California
51,2010,12.116666666666665,California
52,2011,11.549999999999999,California
53,2012,10.183333333333334,California
54,2013,8.65,California
55,2014,7.216666666666666,California
56,2015,6.05,California
57,2016,5.566666666666667,California
58,2017,4.8,California
59,2018,4.125000000000001,California
60,2019,3.8916666666666675,California
61,2020,9.133333333333333,California
62,1990,5.233333333333334,Colorado
63,1991,5.258333333333334,Colorado
64,1992,6.0,Colorado
65,1993,5.324999999999999,Colorado
66,1994,4.233333333333333,Colorado
67,1995,4.008333333333335,Colorado
68,1996,4.241666666666666,Colorado
69,1997,3.4499999999999997,Colorado
70,1998,3.5999999999999996,Colorado
71,1999,3.0749999999999997,Colorado
72,2000,2.7583333333333333,Colorado
73,2001,3.816666666666667,Colorado
74,2002,5.525000000000001,Colorado
75,2003,5.949999999999999,Colorado
76,2004,5.474999999999999,Colorado
77,2005,5.0249999999999995,Colorado
78,2006,4.308333333333333,Colorado
79,2007,3.725,Colorado
80,2008,4.8500000000000005,Colorado
81,2009,7.300000000000001,Colorado
82,2010,8.725000000000001,Colorado
83,2011,8.358333333333334,Colorado
84,2012,7.891666666666667,Colorado
85,2013,6.849999999999999,Colorado
86,2014,4.991666666666666,Colorado
87,2015,3.8833333333333333,Colorado
88,2016,3.2999999999999994,Colorado
89,2017,2.791666666666666,Colorado
90,2018,3.158333333333333,Colorado
91,2019,2.7583333333333333,Colorado
92,2020,7.075,Colorado
93,1990,5.125,Connecticut
94,1991,6.533333333333334,Connecticut
95,1992,7.541666666666665,Connecticut
96,1993,6.625,Connecticut
97,1994,5.616666666666667,Connecticut
